Video;Start_Timestamp;Participant;Valence;Arousal;Dominace;Viewed
6.m4v;Mi 28 Feb 2024 10:34:12 CET;8;-1;1;-1;0
baseline.m4v;Mi 28 Feb 2024 10:37:45 CET;8;;;;
7.m4v;Mi 28 Feb 2024 10:38:49 CET;8;1;1;1;1
baseline.m4v;Mi 28 Feb 2024 10:42:53 CET;8;;;;
8.m4v;Mi 28 Feb 2024 10:45:11 CET;8;-1;1;-1;0
baseline.m4v;Mi 28 Feb 2024 10:52:09 CET;8;;;;
9.m4v;Mi 28 Feb 2024 10:53:13 CET;8;-1;-1;1;0
baseline.m4v;Mi 28 Feb 2024 11:12:42 CET;9;;;;
1.m4v;Mi 28 Feb 2024 11:13:45 CET;9;1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 11:18:26 CET;9;;;;
2.m4v;Mi 28 Feb 2024 11:19:28 CET;9;1;1;0;0
baseline.m4v;Mi 28 Feb 2024 11:22:29 CET;9;;;;
3.m4v;Mi 28 Feb 2024 11:23:34 CET;9;1;1;1;1
baseline.m4v;Mi 28 Feb 2024 11:30:19 CET;9;;;;
4.m4v;Mi 28 Feb 2024 11:31:22 CET;9;-1;1;-1;1
baseline.m4v;Mi 28 Feb 2024 11:35:03 CET;9;;;;
5.m4v;Mi 28 Feb 2024 11:36:07 CET;9;1;1;1;1
baseline.m4v;Mi 28 Feb 2024 11:38:53 CET;9;;;;
6.m4v;Mi 28 Feb 2024 11:39:55 CET;9;1;1;-1;1
baseline.m4v;Mi 28 Feb 2024 11:43:49 CET;9;;;;
7.m4v;Mi 28 Feb 2024 11:44:53 CET;9;1;1;0;1
baseline.m4v;Mi 28 Feb 2024 11:49:12 CET;9;;;;
8.m4v;Mi 28 Feb 2024 11:50:16 CET;9;-1;1;-1;0
baseline.m4v;Mi 28 Feb 2024 11:57:10 CET;9;;;;
9.m4v;Mi 28 Feb 2024 11:58:13 CET;9;-1;1;-1;1
baseline.m4v;Mi 28 Feb 2024 13:12:33 CET;10;;;;
1.m4v;Mi 28 Feb 2024 13:13:54 CET;10;-1;0;0;0
baseline.m4v;Mi 28 Feb 2024 13:17:41 CET;10;;;;
2.m4v;Mi 28 Feb 2024 13:18:44 CET;10;1;-1;0;0
baseline.m4v;Mi 28 Feb 2024 13:21:43 CET;10;;;;
3.m4v;Mi 28 Feb 2024 13:22:46 CET;10;0;1;0;0
baseline.m4v;Mi 28 Feb 2024 13:29:07 CET;10;;;;
4.m4v;Mi 28 Feb 2024 13:36:44 CET;10;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 13:39:56 CET;10;;;;
5.m4v;Mi 28 Feb 2024 13:40:59 CET;10;1;1;1;0
baseline.m4v;Mi 28 Feb 2024 13:43:39 CET;10;;;;
6.m4v;Mi 28 Feb 2024 13:44:44 CET;10;0;1;-1;0
baseline.m4v;Mi 28 Feb 2024 13:49:19 CET;10;;;;
7.m4v;Mi 28 Feb 2024 13:50:25 CET;10;1;0;0;0
baseline.m4v;Mi 28 Feb 2024 13:54:01 CET;10;;;;
8.m4v;Mi 28 Feb 2024 13:55:05 CET;10;-1;1;-1;0
baseline.m4v;Mi 28 Feb 2024 14:02:06 CET;10;;;;
9.m4v;Mi 28 Feb 2024 14:03:10 CET;10;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 14:14:45 CET;11;;;;
1.m4v;Mi 28 Feb 2024 14:15:50 CET;11;0;-1;0;0
baseline.m4v;Mi 28 Feb 2024 14:19:50 CET;11;;;;
2.m4v;Mi 28 Feb 2024 14:20:53 CET;11;0;0;0;0
baseline.m4v;Mi 28 Feb 2024 14:23:38 CET;11;;;;
3.m4v;Mi 28 Feb 2024 14:24:41 CET;11;1;0;0;1
baseline.m4v;Mi 28 Feb 2024 14:32:04 CET;11;;;;
4.m4v;Mi 28 Feb 2024 14:33:05 CET;11;-1;-1;0;0
baseline.m4v;Mi 28 Feb 2024 14:36:30 CET;11;;;;
5.m4v;Mi 28 Feb 2024 14:37:37 CET;11;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 14:40:17 CET;11;;;;
6.m4v;Mi 28 Feb 2024 14:41:27 CET;11;-1;1;0;0
baseline.m4v;Mi 28 Feb 2024 14:45:21 CET;11;;;;
7.m4v;Mi 28 Feb 2024 14:46:25 CET;11;0;0;0;0
baseline.m4v;Mi 28 Feb 2024 14:50:11 CET;11;;;;
8.m4v;Mi 28 Feb 2024 14:51:54 CET;11;-1;1;-1;0
baseline.m4v;Mi 28 Feb 2024 14:59:32 CET;11;;;;
9.m4v;Mi 28 Feb 2024 15:00:35 CET;11;-1;0;0;0
